dataset,mean_score,std_score,min_score,max_score,num_samples,score_type,auroc,fpr95
ID (CIFAR-10),13.762485,1.4337728,9.173465,21.72146,10000,eps_mse,0.925944035,0.299
OOD (LSUN),16.968622,1.8237981,11.181551,35.33722,10000,eps_mse,0.925944035,0.299
